<!--This work is licensed under a Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License (https://creativecommons.org/licenses/by-nc-sa/3.0/) The data presented in this file MAY NOT include all records shown on the datasheet. This occurs when we are unable to match a territory name to geographical coordinates in an authoritative manner.-->

Region,Latitude,Longitude,Extent,Last Reported,Origin,First Reported,Invasiveness,References,Notes
"Egypt","27","30","Present","-","Introduced","-","-","Holm et al. (1979)","-"
"Mauritius","-20.3","57.58333","Present","-","Introduced","-","-","Holm et al. (1979)","-"
"South Africa","-29","24","Widespread","-","Introduced","-","-","Invasive Species South Africa (2014); Spicer and Catling (1988)","-"
"China","35","105","Present","-","Introduced","-","-","Holm et al. (1979); Lia et al. (2009)","-"
"India","20","77","Present","-","Introduced","-","-","Holm et al. (1979); Q-bank (2014)","-"
"Malaysia","2.5","112.5","Present","-","Introduced","-","-","Revilla et al. (1991)","-"
"Saudi Arabia","25","45","Present","-","Introduced","-","-","Mohamed and Al-Shehri (2010)","-"
"Singapore","1.36667","103.8","Present","-","Introduced","-","-","Revilla et al. (1991)","-"
"Taiwan","24","121","Present","-","Introduced","-","-","Q-bank (2014)","-"
"Thailand","15","100","Present","-","Introduced","-","-","Revilla et al. (1991)","-"
"Belize","17.25","-88.75","Present","-","-","-","-","Holm et al. (1979)","-"
"Cuba","22","-79.5","Present","-","Introduced","-","Invasive","Oviedo Prieto et al. (2012)","-"
"Puerto Rico","18.24829","-66.49989","Present","-","Introduced","-","-","Holm et al. (1979)","-"
"Austria","47.33333","13.33333","Widespread","-","Introduced","-","-","Wychera et al. (1990)","-"
"Belgium","50.83333","4","Widespread","-","Introduced","-","-","Sculthorpe (1971)","-"
"Bulgaria","43","25","Present","-","Introduced","-","-","Dandy (1980)","-"
"Denmark","56","10","Present","-","Introduced","1870","-","Sculthorpe (1971)","-"
"Estonia","59","26","Present","-","Introduced","1905","-","NOBANIS (2014)","-"
"Finland","64","26","Present","-","Introduced","1884","-","Dandy (1980); NOBANIS (2014)","Extremely common in southern and central Finland and still expanding its range"
"France","46","2","Widespread","-","Introduced","-","-","Sculthorpe (1971)","-"
"Germany","51.5","10.5","Present","-","Introduced","1859","-","Krausch (1987); NOBANIS (2014); Sculthorpe (1971)","-"
"Greece","39","22","Widespread","-","Introduced","-","-","Boliotes (1984)","-"
"Hungary","47","20","Widespread","-","Introduced","-","-","Keresztes and Horvath (1977)","-"
"Ireland","53","-8","Widespread","-","Introduced","-","-","NOBANIS (2014); Sculthorpe (1971)","-"
"Italy","42.83333","12.83333","Present","-","Introduced","-","-","Holm et al. (1979)","-"
"Latvia","57","25","Widespread","-","Introduced","1872","-","NOBANIS (2014)","-"
"Lithuania","56","24","Widespread","-","Introduced","1884","-","NOBANIS (2014); Stepanaviciene (2000)","-"
"Netherlands","52.5","5.75","Widespread","-","Introduced","-","-","Best (1979); van Oostsroom, 1973","-"
"Norway","62","10","Widespread","-","Introduced","1925","-","NOBANIS (2014); Rorslett (1995)","-"
"Poland","52","20","Widespread","-","Introduced","1859","-","Dandy (1980); NOBANIS (2014)","-"
"Portugal","39.5","-8","Present","-","Introduced","-","-","Dandy (1980)","-"
"Romania","46","25","Present","-","Introduced","-","-","Dandy (1980)","-"
"Russia","60","100","Widespread","-","Introduced","-","-","Sculthorpe (1971)","-"
"Siberia","60","100","Widespread","-","Introduced","-","-","Kozhova and Izhboldina (1993); Sculthorpe (1971)","-"
"Spain","40","-4","Widespread","-","Introduced","-","-","Palet et al. (1991)","-"
"Sweden","62","15","Widespread","-","-","1871","-","Sculthorpe (1971); NOBANIS (2014)","-"
"Switzerland","47.00016","8.01427","Widespread","-","Introduced","-","-","Sher-Kaul et al. (1995)","-"
"United Kingdom","54","-2","Widespread","-","Introduced","-","-","Sculthorpe (1971)","First reported in Scotland in 1854"
"Ukraine","49","32","Present","-","Introduced","-","-","Kharchenko et al. (2008)","-"
"Serbia","44.81892","20.45998","Present","-","Introduced","-","-","Dandy (1980)","-"
"Canada","60.10867","-113.64258","Present","-","-","-","-","-","Present based on regional distribution."
"Alberta","52.28333","-117.469","Widespread","-","Native","-","-","Alberta Biodiversity Monitoring Institute (2014); Haag (1979); Spicer and Catling (1988)","-"
"British Columbia","53.99983","-125.0032","Widespread","-","-","-","-","E-Flora (2014); Spicer and Catling (1988)","-"
"Manitoba","55.00019","-97.00049","Widespread","-","-","-","-","Godfrey and Wooten (1997)","-"
"New Brunswick","46.5001","-65.99878","Present","-","-","-","-","USDA-NRCS (2014)","-"
"Nova Scotia","45.00015","-62.99865","Present","-","-","-","-","USDA-NRCS (2014)","-"
"Ontario","49.25014","-84.49983","Widespread","-","-","-","-","Spicer and Catling (1988)","-"
"Quebec","52.00017","-71.99907","Widespread","-","-","-","-","Spicer and Catling (1988)","-"
"Saskatchewan","54.0001","-106.00099","Widespread","-","-","-","-","Godfrey and Wooten (1997)","-"
"Mexico","23","-102","Present","-","-","-","-","Holm et al. (1979); USDA-NRCS (2014)","-"
"United States","39.76","-98.5","Present","-","-","-","-","-","Present based on regional distribution."
"Alabama","32.75041","-86.75026","Widespread","-","Native","-","-","Godfrey and Wooten (1997)","-"
"Alaska","64.00028","-150.00028","Present","-","Native","-","-","Alaska Plant Materials Center (2014); USDA-NRCS (2014)","-"
"Arizona","34.5003","-111.50098","Widespread","-","Native","-","-","Godfrey and Wooten (1997)","-"
"Arkansas","34.75037","-92.50044","Widespread","-","Native","-","-","Westerdahl and Getsinger (1988)","-"
"California","37.25022","-119.75126","Widespread","-","Native","-","-","Anderson (1981)","-"
"Colorado","39.00027","-105.50083","Widespread","-","Native","-","-","Westerdahl and Getsinger (1988)","-"
"Connecticut","41.66704","-72.66648","Widespread","-","Native","-","-","Westerdahl and Getsinger (1988)","-"
"Delaware","39.00039","-75.49992","Widespread","-","Native","-","-","Westerdahl and Getsinger (1988)","-"
"Florida","28.75054","-82.5001","Widespread","-","Native","-","-","Westerdahl and Getsinger (1988)","-"
"Georgia","32.75042","-83.50018","Widespread","-","-","-","-","Thomaston (1978)","-"
"Hawaii","20.75028","-156.50028","Present","-","Native","-","-","Holm et al. (1979)","-"
"Idaho","44.5002","-114.25118","Widespread","-","Native","-","-","Westerdahl and Getsinger (1988)","-"
"Illinois","40.00032","-89.25037","Widespread","-","Native","-","-","Westerdahl and Getsinger (1988)","-"
"Indiana","40.00032","-86.25027","Widespread","-","Native","-","-","Willey et al. (1974)","-"
"Iowa","42.00027","-93.50049","Widespread","-","Native","-","-","Mitzner (1978)","-"
"Kansas","38.50029","-98.50063","Widespread","-","Native","-","-","Westerdahl and Getsinger (1988)","-"
"Kentucky","38.20042","-84.87762","Widespread","-","-","-","-","Westerdahl and Getsinger (1988)","-"
"Louisiana","31.00047","-92.0004","Widespread","-","-","-","-","Aquatic plant species in Louisiana (2014); Westerdahl and Getsinger (1988)","-"
"Maine","45.50032","-69.24977","Widespread","-","Native","-","-","Godfrey and Wooten (1997)","-"
"Maryland","39.00039","-76.74997","Widespread","-","-","-","-","Godfrey and Wooten (1997)","-"
"Massachusetts","42.36565","-71.10832","Widespread","-","-","-","-","Lawrence (1976)","-"
"Michigan","44.25029","-85.50033","Widespread","-","Native","-","-","Nichols et al. (1989)","-"
"Minnesota","46.25024","-94.25055","Widespread","-","Native","-","-","Westerdahl and Getsinger (1988)","-"
"Mississippi","32.75041","-89.75036","Widespread","-","Native","-","-","Westerdahl and Getsinger (1988)","-"
"Missouri","38.25031","-92.50046","Widespread","-","-","-","-","Westerdahl and Getsinger (1988)","-"
"Montana","47.00025","-109.75102","Widespread","-","Native","-","-","Westerdahl and Getsinger (1988)","-"
"Nebraska","41.50028","-99.75067","Widespread","-","Native","-","-","Westerdahl and Getsinger (1988)","-"
"Nevada","39.25021","-116.75119","Widespread","-","Native","-","-","Westerdahl and Getsinger (1988)","-"
"New Hampshire","43.66702","-71.4998","Widespread","-","Native","-","-","Westerdahl and Getsinger (1988)","-"
"New Jersey","40.16706","-74.49987","Widespread","-","Native","-","-","Westerdahl and Getsinger (1988)","-"
"New Mexico","34.50034","-106.00085","Widespread","-","Native","-","-","Godfrey and Wooten (1997)","-"
"New York","43.00035","-75.4999","Widespread","-","Native","-","-","Peverly and Johnson (1979); Peverly and Kopka (1991)","-"
"North Carolina","35.50069","-80.00032","Widespread","-","Native","-","-","Westerdahl and Getsinger (1988)","-"
"North Dakota","47.50027","-100.00068","Widespread","-","Native","-","-","Westerdahl and Getsinger (1988)","-"
"Ohio","40.25034","-83.00018","Widespread","-","Native","-","-","Quinn et al. (1977)","-"
"Oklahoma","35.49209","-97.50328","Widespread","-","-","-","-","Godfrey and Wooten (1997)","-"
"Oregon","44.00013","-120.50139","Widespread","-","Native","-","-","Westerdahl and Getsinger (1988)","-"
