<!--This work is licensed under a Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License (https://creativecommons.org/licenses/by-nc-sa/3.0/) The data presented in this file MAY NOT include all records shown on the datasheet. This occurs when we are unable to match a territory name to geographical coordinates in an authoritative manner.-->

Region,Latitude,Longitude,Extent,Last Reported,Origin,First Reported,Invasiveness,References,Notes
"South Africa","-29","24","Present","-","Introduced","-","-","Obbermeyer and Faden (1985)","-"
"Japan","35.68536","139.75309","Present","-","Introduced","-","-","Enomoto (2000); Masato (2003)","-"
"Puerto Rico","18.24829","-66.49989","Present","-","Introduced","-","-","Farr et al. (1989)","-"
"France","46","2","Present","-","-","-","-","-","Present based on regional distribution."
"Region Corse","42","9","Present","-","Introduced","-","-","Royal Botanic Garden Edinburgh (2003)","-"
"Italy","42.83333","12.83333","Widespread","-","Introduced","-","-","Orlando & Grisafi, 1978","-"
"Portugal","39.5","-8","Widespread","-","Introduced","-","Invasive","Aguiar et al. (2001); Royal Botanic Garden Edinburgh (2003)","-"
"Regiao Autonoma dos Acores","38.5","-28","Present","-","Introduced","-","-","Royal Botanic Garden Edinburgh (2003)","-"
"Russia","60","100","Present","-","-","-","-","-","Present based on regional distribution."
"Spain","40","-4","Present","-","Introduced","-","-","Royal Botanic Garden Edinburgh (2003)","-"
"United States","39.76","-98.5","Present","-","-","-","-","-","Present based on regional distribution."
"Alabama","32.75041","-86.75026","Present","-","Introduced","-","-","USDA-NRCS (2002)","-"
"California","37.25022","-119.75126","Present","-","Introduced","-","-","USDA-NRCS (2002)","-"
"Florida","28.75054","-82.5001","Present","-","Introduced","-","Invasive","USDA-NRCS (2002); Wunderlin and Hansen (2003)","-"
"Georgia","32.75042","-83.50018","Present","-","Introduced","-","Invasive","USDA-NRCS (2002)","-"
"Hawaii","20.75028","-156.50028","Present","-","Introduced","-","Invasive","Farr et al. (1989)","-"
"Kentucky","38.20042","-84.87762","Present","-","Introduced","-","-","USDA-NRCS (2002)","-"
"Louisiana","31.00047","-92.0004","Present","-","Introduced","-","-","USDA-NRCS (2002)","-"
"Missouri","38.25031","-92.50046","Present","-","Introduced","-","No","Missouri Botanical Garden (2003)","-"
"North Carolina","35.50069","-80.00032","Present","-","Introduced","-","-","Farr et al. (1989)","-"
"Texas","31.25044","-99.25061","Present","-","Introduced","-","-","Farr et al. (1989)","-"
"Australia","-25","135","Present","-","-","-","-","-","Present based on regional distribution."
"State of New South Wales","-33","146","Widespread","-","Introduced","-","Invasive","Dunphy (1991); Royal Botanic Gardens Sydney (2003)","-"
"State of Victoria","-37","145","Present","-","Introduced","-","Invasive","Royal Botanic Gardens Sydney (2003)","-"
"New Zealand","-42","174","Widespread","-","Introduced","1910","Invasive","Roy et al. (1998); Timmins and MacKenzie (1995)","-"
"Argentina","-34","-64","Present","-","Native","-","No","USDA-ARS (2003)","-"
"Bolivia","-17","-65","Present","-","Introduced","-","-","Missouri Botanical Garden (2003); USDA-ARS (2003)","-"
"Brazil","-10","-55","Present","-","Native","-","No","USDA-ARS (2003); Macedo et al. (2016)","-"
"Estado da Bahia","-12","-42","Present","-","-","-","-","Missouri Botanical Garden (2003)","-"
"Estado de Minas Gerais","-18","-44","Present","-","Native","-","-","Barreto (1997)","-"
"Parana","-7.81667","-39.68333","Widespread","-","Native","-","-","Barreto (1997)","-"
"Estado do Rio de Janeiro","-22","-42.5","Present","-","Native","-","-","Barreto (1997)","-"
"Estado do Rio Grande do Sul","-30","-54","Widespread","-","Native","-","-","Barreto (1997)","-"
"Estado de Santa Catarina","-27","-50","Present","-","Native","-","-","Barreto (1997)","-"
"Sao Paulo","-4.78333","-38.76667","Widespread","-","Native","-","-","Barreto (1997)","-"
"Paraguay","-22.99333","-57.99639","Present","-","Introduced","-","-","Missouri Botanical Garden (2003)","-"
"Uruguay","-33","-56","Present","-","Native","-","No","USDA-ARS (2003)","-"
