<!--This work is licensed under a Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License (https://creativecommons.org/licenses/by-nc-sa/3.0/) The data presented in this file MAY NOT include all records shown on the datasheet. This occurs when we are unable to match a territory name to geographical coordinates in an authoritative manner.-->

Region,Latitude,Longitude,Extent,Last Reported,Origin,First Reported,Invasiveness,References,Notes
"Algeria","28","3","Present","-","Introduced","-","-","ILDIS (2007)","-"
"Madagascar","-20","47","Present","-","Introduced","-","-","ILDIS (2007)","-"
"Mauritius","-20.3","57.58333","Widespread","-","Introduced","-","Invasive","ILDIS (2007)","-"
"Reunion","-21.1","55.6","Widespread","-","Introduced","-","Invasive","ILDIS (2007); Tassin and Riviere (1999)","-"
"Saint Helena","-15.95","-5.7","Present","-","Introduced","-","Invasive","Julien and Griffiths (1998)","-"
"South Africa","-29","24","Present","-","Introduced","-","-","ILDIS (2007); Henderson (2005)","-"
"Comunidad Autonoma de Canarias","28","-15.5","Present","-","Introduced","-","-","DAISIE (2015)","Naturalized"
"Tanzania","-6","35","Present","-","Introduced","-","-","ILDIS (2007)","-"
"China","35","105","Restricted distribution","-","Introduced","-","-","ILDIS (2007); Liu et al. (2006)","-"
"India","20","77","Present","-","Introduced","-","-","ILDIS (2007)","-"
"State of Himachal Pradesh","31","78","Present","-","Introduced","-","-","ILDIS (2007)","-"
"State of Sikkim","27.75","88.5","Present","-","Introduced","-","-","ILDIS (2007)","-"
"State of Tamil Nadu","11","78","Present","-","Introduced","-","-","ILDIS (2007); Missouri Botanical Garden (2007)","-"
"State of West Bengal","24","88","Present","-","Introduced","-","-","ILDIS (2007)","-"
"Indonesia","-5","120","Present","-","-","-","-","-","Present based on regional distribution."
"Java","-7.49167","110.00444","Present","-","Introduced","-","-","ILDIS (2007)","-"
"Iran","32","53","Restricted distribution","-","Introduced","-","-","Holm et al. (1997)","-"
"Japan","35.68536","139.75309","Present","-","Introduced","-","Invasive","PIER (2007)","-"
"Sri Lanka","7","81","Restricted distribution","-","Introduced","-","Invasive","ILDIS (2007)","-"
"Tajikistan","39","71","Present","-","Introduced","-","-","ILDIS (2007)","-"
"Turkey","39.05901","34.91155","Restricted distribution","-","Introduced","-","-","ILDIS (2007)","-"
"Costa Rica","10","-84","Restricted distribution","-","Introduced","-","Invasive","D'Arcy (1980); ILDIS (2007)","-"
"Haiti","19","-72.41667","Present","-","Introduced","-","-","ILDIS (2007)","-"
"Jamaica","18.25","-77.5","Present","-","Introduced","-","Invasive","ILDIS (2007)","-"
"Panama","9","-80","Present","-","Introduced","-","-","D'Arcy (1980); ILDIS (2007)","-"
"Trinidad and Tobago","10.45","-61.25","Present","-","Introduced","-","-","ILDIS (2007)","-"
"Austria","47.33333","13.33333","Present","-","Introduced","-","-","ILDIS (2007)","-"
"Belgium","50.83333","4","Present","-","Native","-","-","ILDIS (2007)","-"
"Cyprus","35","33","Present","-","Introduced","-","-","ILDIS (2007)","-"
"Czech Republic","49.75","15","Present","-","Introduced","-","-","ILDIS (2007)","-"
"Denmark","56","10","Present","-","Introduced","-","-","ILDIS (2007)","-"
"France","46","2","Widespread","-","Native","-","Invasive","Holm et al. (1997); ILDIS (2002)","-"
"Region Corse","42","9","Present","-","Introduced","-","-","ILDIS (2007)","-"
"Germany","51.5","10.5","Restricted distribution","-","Native","-","-","ILDIS (2007)","-"
"Ireland","53","-8","Widespread","-","Native","-","Invasive","ILDIS (2007)","-"
"Italy","42.83333","12.83333","Restricted distribution","-","Native","-","-","Holm et al. (1997); ILDIS (2007)","-"
"Netherlands","52.5","5.75","Present","-","Native","-","No","ILDIS (2007)","-"
"Norway","62","10","Present","-","Introduced","-","No","ILDIS (2007)","-"
"Poland","52","20","Present","-","Introduced","-","-","Holm et al. (1997)","-"
"Portugal","39.5","-8","Widespread","-","Native","-","Invasive","Holm et al. (1997); ILDIS (2007)","-"
"Regiao Autonoma dos Acores","38.5","-28","Present","-","Introduced","-","Invasive","ILDIS (2007)","-"
"Regiao Autonoma da Madeira","32.66667","-16.75","Present","-","Introduced","-","Invasive","ILDIS (2007)","-"
"Russia","60","100","Present","-","Introduced","-","-","ILDIS (2007)","-"
