<!--This work is licensed under a Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License (https://creativecommons.org/licenses/by-nc-sa/3.0/) The data presented in this file MAY NOT include all records shown on the datasheet. This occurs when we are unable to match a territory name to geographical coordinates in an authoritative manner.-->

Region,Latitude,Longitude,Extent,Last Reported,Origin,First Reported,Invasiveness,References,Notes
"China","35","105","Widespread","-","Introduced","-","Invasive","Ding et al. (2008); McEnnulty and et al. (undated)","-"
"France","46","2","Present","-","Introduced","-","Invasive","Weber (2003)","-"
"United Kingdom","54","-2","Present","-","Introduced","-","Invasive","Maskell and Raybould (2001); Mullins and Marks (1987)","-"
"Canada","60.10867","-113.64258","Present","-","-","-","-","-","Present based on regional distribution."
"British Columbia","53.99983","-125.0032","Widespread","-","Introduced","-","Invasive","Kilbride et al. (1995)","-"
"Nova Scotia","45.00015","-62.99865","Widespread","-","Native","-","Invasive","Cranford et al. (1989)","-"
"United States","39.76","-98.5","Present","-","-","-","-","-","Present based on regional distribution."
"California","37.25022","-119.75126","Present","-","Introduced","-","Invasive","Anttila and Daehler (1997); Ayres et al. (2004); Daehler and Strong (1995); Daehler and Strong (1996); Daehler and Strong (1997); Grevstad et al. (2003)","-"
"Connecticut","41.66704","-72.66648","Present","-","Native","-","Invasive","Bertness et al. (1992); Chambers et al. (1998)","-"
"Florida","28.75054","-82.5001","Present","-","Native","-","Invasive","Grevstad et al. (2003)","-"
"Georgia","32.75042","-83.50018","Present","-","Native","-","Invasive","Goranson et al. (2004); Reimold et al. (1975); Turner (1987)","-"
"Louisiana","31.00047","-92.0004","Present","-","Native","-","Invasive","Lessman et al. (1997); Linthurst (1979); Mendelssohn and McKee (1988)","-"
"Maine","45.50032","-69.24977","Present","-","Native","-","Invasive","Bertness et al. (1992)","-"
"Maryland","39.00039","-76.74997","Present","-","Native","-","Invasive","Furbish and Albano (1994); Grevstad et al. (2003)","-"
"Massachusetts","42.36565","-71.10832","Present","-","Native","-","Invasive","Bertness et al. (1992)","-"
"Mississippi","32.75041","-89.75036","Present","-","Native","-","Invasive","Brown et al. (2006); Lythe and Lythe (1998)","-"
"New Hampshire","43.66702","-71.4998","Present","-","Native","-","Invasive","Bertness et al. (1992)","-"
"North Carolina","35.50069","-80.00032","Present","-","Native","-","Invasive","Linthurst (1979)","-"
"Oregon","44.00013","-120.50139","Widespread","-","Introduced","-","Invasive","Daehler and Strong (1996)","-"
"Rhode Island","41.75038","-71.49978","Present","-","Native","-","Invasive","Bertness et al. (1992)","-"
"Texas","31.25044","-99.25061","Present","-","Native","-","Invasive","Goranson et al. (2004)","-"
"Virginia","37.54812","-77.44675","Present","-","Native","-","Invasive","Furbish and Albano (1994); Silliman and Zieman (2001)","-"
"Washington","47.50012","-120.50147","Present","-","Introduced","-","Invasive","Cordell et al. (1998); Daehler and Strong (1997); Feist and Simenstad (2000); Grevstad et al. (2003); Harrington et al. (1997); Hedge et al. (2003); Luiting et al. (1997); Major et al. (2003); Patten (2002); Thom et al. (1997)","-"
"Australia","-25","135","Present","-","-","-","-","-","Present based on regional distribution."
"State of South Australia","-30","135","Widespread","-","Introduced","-","Invasive","McEnnulty and et al. (undated)","In southern Australia, introduced rice grass species S. anglica, S. alterniflora and S. townsendii have been used to stabilise mud banks but are now considered a nuisance"
"State of Tasmania","-42","147","Widespread","-","Introduced","-","Invasive","Hedge and Kriwoken (1997); Hedge et al. (1997)","-"
"State of Victoria","-37","145","Widespread","-","Introduced","-","Invasive","Hedge and Kriwoken (1997); Hedge et al. (1997)","-"
"New Zealand","-42","174","Widespread","-","Introduced","-","Invasive","Bascand (1968); Bascand (1970); Shaw and Gosling (1997)","-"
"Brazil","-10","-55","Present","-","-","-","-","-","Present based on regional distribution."
"Estado do Rio Grande do Sul","-30","-54","Present","-","Introduced","-","Invasive","Costa et al. (2003)","-"
"Uruguay","-33","-56","Present","-","Introduced","-","Invasive","Costa et al. (2003)","-"
